지역,소구분,상호,주소,반려동물용 메뉴 및 서비스 시설,반려동물용 메뉴 및 서비스 시설 내용,반려동물 동행시 이용 가능 공간(실내_실외),입장 가능 반려동물 제한사항,이용료,기타 특이사항,이용시간,휴무,주차
강화군,종교시설,전등사,강화군 길상면 전등사로 37-41,X,,실외,"반려동물 입장 가능, 목줄 착용","성인 3,000원, 청소년 2,000원, 어린이 1,000원","동반서약서 작성, 문화재이므로 배변에 각별한 주의 필요",하절기 08:00~18:30 동절기 08:30~18:00,연중무휴,가능(유료)
강화군,종교시설,보문사,강화군 삼산면 삼산남로828번길 44,X,,실외,반려동물 입장 가능,"성인 2,000원, 중고생 1,500원, 초등학생 1,000원",마애불 입장 불가,09:00~18:00,연중무휴,가능(유료)
강화군,종교시설,성공회강화성당,강화군 강화읍 관청길27번길 10,X,,실외,반려동물 입장 가능,무료,문화재이므로 배변에 각별한 주의 필요,10:00~18:00,연중무휴,용흥궁공원 공영주차장(유료) 이용
강화군,해수욕장,동막해수욕장,강화군 화도면 해안남로 1481,X,,실외,반려동물 입장 가능,,,,연중무휴,가능
강화군,전통시장,강화풍물시장,강화군 강화읍 중앙로 17-9,X,,실외,반려동물 입장 가능,,,,"1, 3주 월요일 휴무",가능
강화군,반려견운동장,멍숲 ,강화군 불은면 중앙로 576-2,O,단독 운동장 및 수영장,실외,반려동물 입장 가능 운동장 외 리드줄 필수,"150평은 사람+강아지 4두 기본, 600평은 8두 기본임, 초과시 초과비용 있음  150평 시간당 주중 30,000원, 주말 50,000원600평 시간당 주중 60,000원, 주말  80,000원 ",예약후 프라이빗 단독 이용 : (https://booking.naver.com/booking/10/bizes/507477) 외부 음식 반입 가능  ,예약시 시간 확인,연중무휴,가능
강화군,펜션,로만티카애견리조트 ,강화군 화도면 해안남로 1986,O,"배변패드, 배변봉투, 이중문","실내, 실외",15kg 이하,"15kg 이하 1마리당 10,000원, 객실당 최대 5마리 입실 가능","웰컴푸드(간식), 애견카페, 애견 수영장(반려견 구명조끼, 튜브 완비), 애견 운동장, 목욕식(샴푸, 수건, 드라이어, 빗 완비)",입실 15:00 / 퇴실 11:00,화요일,가능
강화군,펜션,위플독 ,강화군 길상면 해안남로 368-18,O,"배변패드, 물그릇, 배변봉투","실내(객실, 공용주방), 실외(잔디밭)",없음,,모든 반려동물 입장가능,입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,아리엘펜션,강화군 선원면 더리미길 33-39,X,,"실내, 실외",30kg 이하,"10kg 미만 2마리 20,000원, 10kg 이상 2마리 30,000원. 추가 1미라당 10,000원",동반 가능하지만 제공 용품 없으므로 모두 챙겨가야 함,입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,옥타곤펜션,강화군 선원면 더리미길 33-27,X,배변패드,"실내, 실외",없음,"10kg 미만 1마리당 10,000원, 10kg 이상 1마리 20,000원. ",모든 반려동물 입장가능,입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,리니스하우스,강화군 양도면 강화남로 1077-23,O,,전체,제한없음,2인+1견 ,1일 1팀 전용독채펜션,,연중무휴,무료
강화군,펜션,잘해줄게,강화군 길상면 해안남로 336-1,X,,,,,,,,
강화군,펜션,무무펜션,강화군 화도면 해안남로1066번길 26,X,,"실내, 실외","10kg 이하,  전화 문의",,"호텔, 펜션, 카페 운영함. 정원, 천연잔디",입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,어나더153 ,강화군 화도면 해안남로1669-12,O,"요청시 객실에 배변판, 식기, 방석 제공","실내, 실외",30kg 이하 맹견 및 대형견 불가,"1실 1견 기본, 추가견은 전화문의","애견 목욕실, 운동장, 애견 풀장 있음",입실 15:00 / 퇴실 11:00,연중무휴,가능
강화군,펜션,놀러오시개펜션,강화군 화도면 해안남로 1938,O,,"실내, 실외",전화 문의,"5kg 미만 20,000원 5kg  이상 30,000원","애견 운동장, 애견 수영장 있음",입실 15:00 / 퇴실 11:00,연중무휴,가능
